2018-02-05__08_25_37_PM
batch_num,epoch,batch_acc
1,epoch_27507,0.922363
2,epoch_27507,0.918945
3,epoch_27507,0.925781
4,epoch_27507,0.920898
5,epoch_27507,0.927734
6,epoch_27507,0.915039
7,epoch_27507,0.936035
8,epoch_27507,0.914062
9,epoch_27507,0.930664
10,epoch_27507,0.929199
11,epoch_27507,0.928711
12,epoch_27507,0.924316
13,epoch_27507,0.937500
14,epoch_27507,0.925781
15,epoch_27507,0.920898
16,epoch_27507,0.920898
17,epoch_27507,0.925293
18,epoch_27507,0.923340
19,epoch_27507,0.924316
20,epoch_27507,0.917969
21,epoch_27507,0.918945
22,epoch_27507,0.919922
23,epoch_27507,0.931641
24,epoch_27507,0.919922
25,epoch_27507,0.914551
26,epoch_27507,0.932617
27,epoch_27507,0.919922
28,epoch_27507,0.914062
29,epoch_27507,0.923828
30,epoch_27507,0.931152
31,epoch_27507,0.938477
32,epoch_27507,0.924316
33,epoch_27507,0.923828
34,epoch_27507,0.920898
35,epoch_27507,0.923828
36,epoch_27507,0.934082
37,epoch_27507,0.926758
38,epoch_27507,0.924316
39,epoch_27507,0.924316
40,epoch_27507,0.923340
41,epoch_27507,0.925293
42,epoch_27507,0.922363
43,epoch_27507,0.925781
44,epoch_27507,0.918945
45,epoch_27507,0.929688
46,epoch_27507,0.922363
47,epoch_27507,0.922852
48,epoch_27507,0.931641
49,epoch_27507,0.924316
50,epoch_27507,0.925293
51,epoch_27507,0.924316
52,epoch_27507,0.940430
53,epoch_27507,0.922363
54,epoch_27507,0.930664
55,epoch_27507,0.933594
56,epoch_27507,0.919434
57,epoch_27507,0.917969
58,epoch_27507,0.935547
59,epoch_27507,0.921387
60,epoch_27507,0.917480
61,epoch_27507,0.919434
62,epoch_27507,0.913086
63,epoch_27507,0.923340
64,epoch_27507,0.925781
65,epoch_27507,0.929199
66,epoch_27507,0.925293
67,epoch_27507,0.922852
68,epoch_27507,0.928711
69,epoch_27507,0.921387
70,epoch_27507,0.925781
71,epoch_27507,0.914062
72,epoch_27507,0.926270
73,epoch_27507,0.931152
74,epoch_27507,0.915527
75,epoch_27507,0.923340
76,epoch_27507,0.929199
77,epoch_27507,0.922363
78,epoch_27507,0.915039
79,epoch_27507,0.929199
80,epoch_27507,0.918457
81,epoch_27507,0.928711
82,epoch_27507,0.920410
83,epoch_27507,0.910156
84,epoch_27507,0.937500
85,epoch_27507,0.928223
86,epoch_27507,0.923828
87,epoch_27507,0.920410
88,epoch_27507,0.922363
89,epoch_27507,0.935059
90,epoch_27507,0.925293
91,epoch_27507,0.924316
92,epoch_27507,0.925293
93,epoch_27507,0.924316
94,epoch_27507,0.926270
95,epoch_27507,0.929688
96,epoch_27507,0.923828
97,epoch_27507,0.923828
98,epoch_27507,0.922363
99,epoch_27507,0.926758
100,epoch_27507,0.927734
2018-02-05__08_42_24_PM
batch_num,epoch,batch_acc
1,epoch_27507,0.922363
2,epoch_27507,0.918945
3,epoch_27507,0.925781
2018-02-05__08_47_35_PM
batch_num,epoch,batch_acc
2018-02-05__08_47_54_PM
batch_num,epoch,batch_acc
1,epoch_27507,0.919922
2,epoch_27507,0.924805
3,epoch_27507,0.929688
4,epoch_27507,0.923828
5,epoch_27507,0.928711
6,epoch_27507,0.922852
7,epoch_27507,0.930664
8,epoch_27507,0.922852
9,epoch_27507,0.938477
2018-02-05__08_48_22_PM
batch_num,epoch,batch_acc
1,epoch_27507,0.474609
2,epoch_27507,0.498047
3,epoch_27507,0.500977
4,epoch_27507,0.488281
5,epoch_27507,0.507812
6,epoch_27507,0.491211
7,epoch_27507,0.500000
8,epoch_27507,0.509766
9,epoch_27507,0.475586
10,epoch_27507,0.471680
11,epoch_27507,0.514648
12,epoch_27507,0.501953
13,epoch_27507,0.494141
2018-02-05__08_49_28_PM
batch_num,epoch,batch_acc
1,epoch_27507,0.906250
2,epoch_27507,0.875000
3,epoch_27507,0.843750
4,epoch_27507,0.906250
5,epoch_27507,0.968750
6,epoch_27507,0.906250
7,epoch_27507,0.937500
8,epoch_27507,0.968750
9,epoch_27507,1.000000
10,epoch_27507,0.843750
11,epoch_27507,0.906250
12,epoch_27507,0.937500
13,epoch_27507,0.937500
14,epoch_27507,0.906250
15,epoch_27507,0.906250
16,epoch_27507,0.937500
17,epoch_27507,0.968750
18,epoch_27507,0.875000
19,epoch_27507,0.968750
20,epoch_27507,0.937500
21,epoch_27507,0.906250
22,epoch_27507,0.906250
23,epoch_27507,0.937500
24,epoch_27507,0.968750
25,epoch_27507,0.968750
26,epoch_27507,0.968750
27,epoch_27507,0.843750
28,epoch_27507,0.968750
29,epoch_27507,0.875000
30,epoch_27507,0.937500
31,epoch_27507,0.968750
32,epoch_27507,0.906250
2018-02-05__08_50_03_PM
batch_num,epoch,batch_acc
1,epoch_27507,0.906250
2,epoch_27507,0.906250
3,epoch_27507,0.906250
4,epoch_27507,0.921875
5,epoch_27507,0.921875
6,epoch_27507,0.921875
7,epoch_27507,0.968750
8,epoch_27507,0.937500
9,epoch_27507,0.968750
10,epoch_27507,0.843750
11,epoch_27507,0.953125
12,epoch_27507,0.968750
13,epoch_27507,0.921875
14,epoch_27507,0.937500
15,epoch_27507,0.937500
16,epoch_27507,0.921875
17,epoch_27507,0.968750
18,epoch_27507,0.937500
19,epoch_27507,0.968750
20,epoch_27507,0.953125
21,epoch_27507,0.906250
22,epoch_27507,0.921875
23,epoch_27507,0.859375
24,epoch_27507,0.921875
25,epoch_27507,0.921875
26,epoch_27507,0.968750
27,epoch_27507,0.875000
28,epoch_27507,0.937500
29,epoch_27507,0.890625
30,epoch_27507,0.937500
31,epoch_27507,0.968750
32,epoch_27507,0.953125
33,epoch_27507,0.937500
34,epoch_27507,0.921875
35,epoch_27507,0.859375
36,epoch_27507,0.906250
37,epoch_27507,0.937500
38,epoch_27507,0.828125
39,epoch_27507,0.937500
40,epoch_27507,0.953125
41,epoch_27507,0.937500
42,epoch_27507,0.953125
43,epoch_27507,0.968750
44,epoch_27507,0.906250
45,epoch_27507,0.937500
46,epoch_27507,0.953125
2018-02-05__08_53_48_PM
batch_num,epoch,batch_acc
1,epoch_99400,0.890625
2,epoch_99400,0.921875
3,epoch_99400,0.906250
4,epoch_99400,0.906250
5,epoch_99400,0.921875
6,epoch_99400,0.906250
7,epoch_99400,0.984375
8,epoch_99400,0.921875
9,epoch_99400,0.968750
10,epoch_99400,0.859375
11,epoch_99400,0.953125
12,epoch_99400,0.968750
13,epoch_99400,0.890625
14,epoch_99400,0.937500
15,epoch_99400,0.937500
16,epoch_99400,0.921875
17,epoch_99400,0.968750
18,epoch_99400,0.906250
19,epoch_99400,0.953125
20,epoch_99400,0.984375
21,epoch_99400,0.875000
22,epoch_99400,0.906250
23,epoch_99400,0.828125
24,epoch_99400,0.921875
25,epoch_99400,0.937500
26,epoch_99400,0.953125
27,epoch_99400,0.875000
28,epoch_99400,0.937500
29,epoch_99400,0.890625
30,epoch_99400,0.921875
31,epoch_99400,0.937500
32,epoch_99400,0.953125
33,epoch_99400,0.937500
34,epoch_99400,0.906250
35,epoch_99400,0.859375
36,epoch_99400,0.921875
37,epoch_99400,0.953125
38,epoch_99400,0.843750
39,epoch_99400,0.937500
40,epoch_99400,0.937500
41,epoch_99400,0.937500
42,epoch_99400,0.968750
43,epoch_99400,0.968750
2018-02-05__08_54_38_PM
batch_num,epoch,batch_acc
1,epoch_99400,0.920410
2,epoch_99400,0.919922
3,epoch_99400,0.929688
4,epoch_99400,0.921387
5,epoch_99400,0.930664
6,epoch_99400,0.913086
7,epoch_99400,0.938965
8,epoch_99400,0.917480
9,epoch_99400,0.933105
10,epoch_99400,0.931641
11,epoch_99400,0.928223
12,epoch_99400,0.924805
13,epoch_99400,0.936523
14,epoch_99400,0.925781
15,epoch_99400,0.925293
