2018-01-30__07_29_32_AM
batch_num,epoch,batch_acc
1,epoch_22292,0.999639
2,epoch_22292,0.999820
3,epoch_22292,0.999880
4,epoch_22292,1.000000
5,epoch_22292,0.999399
6,epoch_22292,1.000000
7,epoch_22292,0.999940
8,epoch_22292,0.999940
9,epoch_22292,1.000000
10,epoch_22292,0.999760
11,epoch_22292,0.999399
12,epoch_22292,1.000000
13,epoch_22292,1.000000
14,epoch_22292,0.999519
15,epoch_22292,0.999579
16,epoch_22292,0.999880
17,epoch_22292,0.999880
18,epoch_22292,0.999700
19,epoch_22292,1.000000
20,epoch_22292,0.999820
21,epoch_22292,0.999760
22,epoch_22292,0.999880
23,epoch_22292,0.999760
24,epoch_22292,0.999820
25,epoch_22292,0.999760
26,epoch_22292,1.000000
27,epoch_22292,0.999940
28,epoch_22292,0.999880
29,epoch_22292,0.999820
30,epoch_22292,0.999940
31,epoch_22292,0.999519
32,epoch_22292,1.000000
