2018-01-30__07_28_30_AM
batch_num,epoch,batch_acc
1,epoch_22292,0.998978
2,epoch_22292,0.967368
3,epoch_22292,0.960096
4,epoch_22292,0.972416
5,epoch_22292,0.945974
6,epoch_22292,0.989243
7,epoch_22292,0.948317
8,epoch_22292,0.991406
9,epoch_22292,0.987861
10,epoch_22292,0.982873
11,epoch_22292,0.987861
12,epoch_22292,0.958834
13,epoch_22292,0.988822
14,epoch_22292,0.980829
15,epoch_22292,0.960276
16,epoch_22292,0.988101
17,epoch_22292,0.999219
18,epoch_22292,0.986839
19,epoch_22292,0.982752
20,epoch_22292,0.988762
21,epoch_22292,0.968870
22,epoch_22292,0.957752
23,epoch_22292,0.972596
24,epoch_22292,0.989724
25,epoch_22292,0.979988
26,epoch_22292,0.969411
27,epoch_22292,0.971575
28,epoch_22292,0.982031
29,epoch_22292,0.930529
30,epoch_22292,0.989062
31,epoch_22292,0.976262
32,epoch_22292,0.990084
33,epoch_22292,0.941406
34,epoch_22292,0.978666
35,epoch_22292,0.980288
36,epoch_22292,0.989724
37,epoch_22292,0.965565
38,epoch_22292,0.981010
