batch_num,epoch,batch_acc
batch_num,epoch,batch_acc
1,epoch_26678,0.997070
2,epoch_26678,0.997070
3,epoch_26678,0.997559
4,epoch_26678,0.997070
5,epoch_26678,0.997559
6,epoch_26678,0.998047
7,epoch_26678,0.998047
8,epoch_26678,0.999023
9,epoch_26678,0.998535
10,epoch_26678,0.998047
11,epoch_26678,0.996582
12,epoch_26678,0.999023
13,epoch_26678,0.998047
14,epoch_26678,0.997559
15,epoch_26678,0.999023
16,epoch_26678,0.999512
17,epoch_26678,0.998535
18,epoch_26678,0.997559
19,epoch_26678,0.997070
20,epoch_26678,0.995605
21,epoch_26678,0.999512
22,epoch_26678,0.996582
23,epoch_26678,0.998047
24,epoch_26678,0.998047
25,epoch_26678,0.997559
26,epoch_26678,0.996582
27,epoch_26678,0.999023
28,epoch_26678,0.997559
29,epoch_26678,0.999023
30,epoch_26678,0.995117
31,epoch_26678,0.996582
32,epoch_26678,0.995605
33,epoch_26678,0.999512
34,epoch_26678,0.998047
35,epoch_26678,0.998535
36,epoch_26678,0.998535
37,epoch_26678,0.999023
38,epoch_26678,0.999023
39,epoch_26678,0.996582
40,epoch_26678,0.998047
41,epoch_26678,0.996582
42,epoch_26678,0.998535
43,epoch_26678,0.998535
44,epoch_26678,0.996582
45,epoch_26678,0.997070
46,epoch_26678,0.998047
47,epoch_26678,0.996094
48,epoch_26678,0.997559
49,epoch_26678,0.998535
50,epoch_26678,0.996094
51,epoch_26678,0.995605
52,epoch_26678,0.998047
53,epoch_26678,0.999512
54,epoch_26678,0.999023
55,epoch_26678,0.999023
56,epoch_26678,0.997070
57,epoch_26678,0.998535
58,epoch_26678,0.998535
59,epoch_26678,0.999023
60,epoch_26678,0.997559
61,epoch_26678,0.999023
62,epoch_26678,0.998047
63,epoch_26678,0.999023
64,epoch_26678,0.997070
65,epoch_26678,0.998047
66,epoch_26678,0.999023
67,epoch_26678,0.996582
68,epoch_26678,0.998535
69,epoch_26678,0.999023
70,epoch_26678,0.996094
71,epoch_26678,0.998047
72,epoch_26678,0.996094
73,epoch_26678,0.998047
74,epoch_26678,0.996094
75,epoch_26678,0.998535
76,epoch_26678,0.996582
77,epoch_26678,0.996094
78,epoch_26678,0.997559
79,epoch_26678,0.999023
