2018-02-02__02_20_51_PM
batch_num,epoch,batch_acc
1,epoch_09687,0.903809
2,epoch_09687,0.904663
3,epoch_09687,0.904175
4,epoch_09687,0.905701
5,epoch_09687,0.903748
6,epoch_09687,0.903320
7,epoch_09687,0.909790
8,epoch_09687,0.903625
9,epoch_09687,0.904785
10,epoch_09687,0.907715
11,epoch_09687,0.901245
12,epoch_09687,0.904968
13,epoch_09687,0.904968
14,epoch_09687,0.904053
15,epoch_09687,0.906006
16,epoch_09687,0.903503
17,epoch_09687,0.909607
18,epoch_09687,0.907043
19,epoch_09687,0.902588
20,epoch_09687,0.907227
21,epoch_09687,0.906982
22,epoch_09687,0.905273
23,epoch_09687,0.907532
24,epoch_09687,0.909668
25,epoch_09687,0.906738
26,epoch_09687,0.904297
27,epoch_09687,0.907654
28,epoch_09687,0.902222
29,epoch_09687,0.905334
30,epoch_09687,0.903076
31,epoch_09687,0.907410
32,epoch_09687,0.904236
33,epoch_09687,0.910156
34,epoch_09687,0.904785
35,epoch_09687,0.904846
36,epoch_09687,0.905640
37,epoch_09687,0.903442
38,epoch_09687,0.901794
39,epoch_09687,0.905396
40,epoch_09687,0.903381
41,epoch_09687,0.903687
42,epoch_09687,0.902771
43,epoch_09687,0.901672
44,epoch_09687,0.904663
45,epoch_09687,0.908447
46,epoch_09687,0.905701
47,epoch_09687,0.904907
48,epoch_09687,0.904175
49,epoch_09687,0.903320
50,epoch_09687,0.903381
51,epoch_09687,0.909607
52,epoch_09687,0.907471
53,epoch_09687,0.904724
54,epoch_09687,0.904358
55,epoch_09687,0.903259
56,epoch_09687,0.907471
57,epoch_09687,0.905090
58,epoch_09687,0.907532
59,epoch_09687,0.904724
60,epoch_09687,0.905823
61,epoch_09687,0.905396
62,epoch_09687,0.904724
63,epoch_09687,0.902466
64,epoch_09687,0.905457
65,epoch_09687,0.905518
66,epoch_09687,0.906677
67,epoch_09687,0.905396
68,epoch_09687,0.905151
69,epoch_09687,0.904785
70,epoch_09687,0.903381
71,epoch_09687,0.909729
72,epoch_09687,0.904297
73,epoch_09687,0.908386
74,epoch_09687,0.912048
75,epoch_09687,0.903015
76,epoch_09687,0.903320
77,epoch_09687,0.903931
78,epoch_09687,0.906494
79,epoch_09687,0.904724
80,epoch_09687,0.903564
81,epoch_09687,0.906982
82,epoch_09687,0.906128
83,epoch_09687,0.905273
84,epoch_09687,0.905945
85,epoch_09687,0.908447
86,epoch_09687,0.905945
87,epoch_09687,0.906860
88,epoch_09687,0.906433
89,epoch_09687,0.906494
90,epoch_09687,0.901062
91,epoch_09687,0.905518
92,epoch_09687,0.900940
93,epoch_09687,0.906860
94,epoch_09687,0.898499
95,epoch_09687,0.907776
96,epoch_09687,0.908813
97,epoch_09687,0.904480
98,epoch_09687,0.904297
99,epoch_09687,0.903381
100,epoch_09687,0.903015
2018-02-02__02_21_39_PM
batch_num,epoch,batch_acc
1,epoch_16032,0.901917
2,epoch_16032,0.903870
3,epoch_16032,0.903442
4,epoch_16032,0.901917
5,epoch_16032,0.902893
