2018-02-02__02_27_43_PM
batch_num,epoch,batch_acc
1,epoch_04598,0.986777
2,epoch_04598,0.983719
3,epoch_04598,0.990961
4,epoch_04598,0.975703
5,epoch_04598,0.994039
6,epoch_04598,0.963504
7,epoch_04598,0.988805
8,epoch_04598,0.987297
9,epoch_04598,0.981488
10,epoch_04598,0.994703
11,epoch_04598,0.996762
12,epoch_04598,0.966336
13,epoch_04598,0.989094
14,epoch_04598,0.983309
15,epoch_04598,0.977793
16,epoch_04598,0.960207
17,epoch_04598,0.966938
18,epoch_04598,0.983844
19,epoch_04598,0.985348
20,epoch_04598,0.977793
21,epoch_04598,0.999422
22,epoch_04598,0.988187
23,epoch_04598,0.979309
24,epoch_04598,0.985383
25,epoch_04598,0.978738
26,epoch_04598,0.985098
27,epoch_04598,0.990301
28,epoch_04598,0.988234
29,epoch_04598,0.981023
30,epoch_04598,0.983523
31,epoch_04598,0.993762
32,epoch_04598,0.968211
33,epoch_04598,0.988211
34,epoch_04598,0.983270
35,epoch_04598,0.981043
36,epoch_04598,0.988191
37,epoch_04598,0.984762
38,epoch_04598,0.977359
39,epoch_04598,0.982371
40,epoch_04598,0.982086
41,epoch_04598,0.977316
42,epoch_04598,0.984059
43,epoch_04598,0.973164
44,epoch_04598,0.978437
45,epoch_04598,0.973699
46,epoch_04598,0.982164
47,epoch_04598,0.988383
48,epoch_04598,0.989242
49,epoch_04598,0.986715
50,epoch_04598,0.991094
51,epoch_04598,0.989059
52,epoch_04598,0.995781
53,epoch_04598,0.982098
54,epoch_04598,0.977504
55,epoch_04598,0.978461
56,epoch_04598,0.996129
57,epoch_04598,0.986945
58,epoch_04598,0.975898
59,epoch_04598,0.983379
60,epoch_04598,0.993871
61,epoch_04598,0.990527
62,epoch_04598,0.961961
63,epoch_04598,0.981477
64,epoch_04598,0.972016
65,epoch_04598,0.988016
66,epoch_04598,0.989645
67,epoch_04598,0.990457
68,epoch_04598,0.989461
69,epoch_04598,0.973648
70,epoch_04598,0.997617
71,epoch_04598,0.997832
72,epoch_04598,0.996578
73,epoch_04598,0.981039
74,epoch_04598,0.987078
75,epoch_04598,0.989125
76,epoch_04598,0.986590
77,epoch_04598,0.982500
78,epoch_04598,0.980516
79,epoch_04598,0.967836
80,epoch_04598,0.994945
81,epoch_04598,0.987551
82,epoch_04598,0.992188
83,epoch_04598,0.973219
84,epoch_04598,0.982832
85,epoch_04598,0.992129
86,epoch_04598,0.978000
87,epoch_04598,0.978094
88,epoch_04598,0.986043
89,epoch_04598,0.977484
90,epoch_04598,0.974941
91,epoch_04598,0.997172
92,epoch_04598,0.996367
93,epoch_04598,0.982863
94,epoch_04598,0.983375
95,epoch_04598,0.989289
96,epoch_04598,0.991344
97,epoch_04598,0.979508
98,epoch_04598,0.982918
99,epoch_04598,0.986020
100,epoch_04598,0.980570
