epoch,batch_acc
epoch_07000,1.000000
epoch_07020,1.000000
epoch_07046,1.000000
epoch_07097,1.000000
epoch_07100,1.000000
epoch_07142,1.000000
epoch_07170,1.000000
epoch_07175,1.000000
epoch_07189,1.000000
epoch_07200,1.000000
epoch_07204,1.000000
epoch_07219,1.000000
epoch_07227,1.000000
epoch_07232,1.000000
epoch_07300,1.000000
epoch_07400,1.000000
epoch_07491,1.000000
epoch_07500,1.000000
epoch_07556,1.000000
epoch_07588,1.000000
epoch_07600,1.000000
epoch_07658,1.000000
epoch_07700,1.000000
epoch_07751,1.000000
epoch_07782,1.000000
epoch_07788,1.000000
epoch_07790,1.000000
epoch_07800,1.000000
epoch_07900,1.000000
epoch_07903,1.000000
epoch_07905,1.000000
epoch_07918,1.000000
epoch_07995,1.000000
epoch_08000,1.000000
epoch_08051,1.000000
epoch_08081,1.000000
epoch_08100,1.000000
epoch_08106,1.000000
epoch_08120,1.000000
epoch_08148,1.000000
epoch_08151,1.000000
epoch_08178,1.000000
epoch_08200,1.000000
epoch_08209,1.000000
epoch_08240,1.000000
epoch_08300,1.000000
epoch_08312,1.000000
epoch_08327,1.000000
epoch_08400,1.000000
epoch_08407,1.000000
epoch_08419,1.000000
epoch_08426,1.000000
epoch_08430,1.000000
epoch_08445,1.000000
epoch_08449,1.000000
epoch_08450,1.000000
epoch_08452,1.000000
epoch_08475,1.000000
epoch_08481,1.000000
epoch_08500,1.000000
epoch_08600,1.000000
epoch_08643,1.000000
epoch_08700,1.000000
epoch_08760,1.000000
epoch_08800,1.000000
epoch_08839,1.000000
epoch_08886,1.000000
epoch_08900,1.000000
epoch_08912,1.000000
epoch_08942,1.000000
epoch_08949,1.000000
epoch_08950,1.000000
epoch_09000,1.000000
epoch_09007,1.000000
epoch_09100,1.000000
epoch_09200,1.000000
epoch_09282,1.000000
epoch_09288,1.000000
epoch_09300,1.000000
epoch_09328,1.000000
epoch_09329,1.000000
epoch_09357,1.000000
epoch_09400,1.000000
epoch_09405,1.000000
epoch_09418,1.000000
epoch_09443,1.000000
epoch_09478,1.000000
epoch_09479,1.000000
epoch_09495,1.000000
epoch_09500,1.000000
epoch_09538,1.000000
epoch_09600,1.000000
epoch_09611,1.000000
epoch_09613,1.000000
epoch_09623,1.000000
epoch_09695,1.000000
epoch_09696,1.000000
epoch_09700,1.000000
epoch_09714,1.000000
epoch_09718,1.000000
epoch_09781,1.000000
epoch_09800,1.000000
epoch_09838,1.000000
epoch_09845,1.000000
epoch_09868,1.000000
epoch_09900,1.000000
epoch_10000,1.000000
epoch_10032,1.000000
epoch_10100,1.000000
epoch_10189,1.000000
epoch_10190,1.000000
epoch_10199,1.000000
epoch_10200,1.000000
epoch_10223,1.000000
epoch_10267,1.000000
epoch_10283,1.000000
epoch_10295,1.000000
epoch_10300,1.000000
epoch_10302,1.000000
epoch_10312,1.000000
epoch_10355,1.000000
epoch_10383,1.000000
epoch_10387,1.000000
epoch_10400,1.000000
epoch_10401,1.000000
epoch_10451,1.000000
epoch_10462,1.000000
epoch_10470,1.000000
epoch_10500,1.000000
epoch_10549,1.000000
epoch_10558,1.000000
epoch_10579,1.000000
epoch_10600,1.000000
epoch_10613,1.000000
epoch_10630,1.000000
epoch_10636,1.000000
epoch_10651,1.000000
epoch_10653,1.000000
epoch_10660,1.000000
epoch_10673,1.000000
epoch_10700,1.000000
epoch_10717,1.000000
epoch_10781,1.000000
epoch_10800,1.000000
epoch_10826,1.000000
epoch_10832,1.000000
epoch_10848,1.000000
epoch_10900,1.000000
epoch_11000,1.000000
epoch_11018,1.000000
epoch_11100,1.000000
epoch_11130,1.000000
epoch_11152,1.000000
epoch_11200,1.000000
epoch_11217,1.000000
epoch_11300,1.000000
epoch_11400,1.000000
epoch_11498,1.000000
epoch_11500,1.000000
epoch_11600,1.000000
epoch_11700,1.000000
epoch_11800,1.000000
epoch_11900,1.000000
epoch_12000,1.000000
epoch_12100,1.000000
epoch_12200,1.000000
epoch_12300,1.000000
epoch_12400,1.000000
epoch_12500,1.000000
epoch_12580,1.000000
epoch_12599,1.000000
epoch_12600,1.000000
epoch_12700,1.000000
epoch_12800,1.000000
epoch_12900,1.000000
epoch_13000,1.000000
epoch_13100,1.000000
epoch_13192,1.000000
epoch_13200,1.000000
epoch_13300,1.000000
epoch_13400,1.000000
epoch_13500,1.000000
epoch_13600,1.000000
epoch_13700,1.000000
epoch_13800,1.000000
epoch_13900,1.000000
epoch_14000,1.000000
epoch_14008,1.000000
epoch_14100,1.000000
epoch_14200,1.000000
epoch_14300,1.000000
epoch_14400,1.000000
epoch_14500,1.000000
epoch_14600,1.000000
epoch_14700,1.000000
epoch_14800,1.000000
epoch_14900,1.000000
epoch_15000,1.000000
epoch_15100,1.000000
epoch_15200,1.000000
epoch_15300,1.000000
epoch_15400,1.000000
epoch_15500,1.000000
epoch_15600,1.000000
epoch_15700,1.000000
epoch_15800,1.000000
epoch_15900,1.000000
epoch_16000,1.000000
epoch_16100,1.000000
epoch_16200,1.000000
epoch_16300,1.000000
epoch_16400,1.000000
epoch_16500,1.000000
epoch_16600,1.000000
epoch_16700,1.000000
epoch_16800,1.000000
epoch_16900,1.000000
epoch_17000,1.000000
epoch_17100,1.000000
epoch_17200,1.000000
epoch_17300,1.000000
epoch_17400,1.000000
epoch_17500,1.000000
epoch_17600,1.000000
epoch_17700,1.000000
epoch_17800,1.000000
epoch_17900,1.000000
epoch_18000,1.000000
epoch_18100,1.000000
epoch_18194,1.000000
epoch_18200,1.000000
epoch_18300,1.000000
epoch_18400,1.000000
epoch_18500,1.000000
epoch_18600,1.000000
epoch_18693,1.000000
epoch_18700,1.000000
epoch_18800,1.000000
epoch_18900,1.000000
epoch_19000,1.000000
epoch_19100,1.000000
epoch_19200,1.000000
epoch_19300,1.000000
epoch_19400,1.000000
epoch_19500,1.000000
epoch_19600,1.000000
epoch_19700,1.000000
epoch_19800,1.000000
epoch_19900,1.000000
epoch_20000,1.000000
epoch_20100,1.000000
epoch_20200,1.000000
epoch_20300,1.000000
epoch_20400,1.000000
epoch_20500,1.000000
epoch_20600,1.000000
epoch_20700,1.000000
epoch_20800,1.000000
epoch_20900,1.000000
epoch_21000,1.000000
epoch_21100,1.000000
epoch_21200,1.000000
epoch_21300,1.000000
epoch_21400,1.000000
epoch_21500,1.000000
epoch_21600,1.000000
epoch_21700,1.000000
epoch_21800,1.000000
epoch_21900,1.000000
epoch_22000,1.000000
epoch_22100,1.000000
epoch_22200,1.000000
epoch_22300,1.000000
epoch_22400,1.000000
epoch_22500,1.000000
epoch_22600,1.000000
epoch_22700,1.000000
epoch_22800,1.000000
epoch_22900,1.000000
epoch_23000,1.000000
epoch_23100,1.000000
epoch_23200,1.000000
epoch_23300,1.000000
epoch_23400,1.000000
epoch_23500,1.000000
epoch_23600,1.000000
epoch_23700,1.000000
epoch_23800,1.000000
epoch_23900,1.000000
epoch_24000,1.000000
epoch_24100,1.000000
epoch_24200,1.000000
epoch_24300,1.000000
epoch_24400,1.000000
epoch_24500,1.000000
epoch_24600,1.000000
epoch_24700,1.000000
epoch_24800,1.000000
epoch_24900,1.000000
epoch_25000,1.000000
epoch_25100,1.000000
epoch_25200,1.000000
epoch_25300,1.000000
epoch_25400,1.000000
epoch_25500,1.000000
epoch_25600,1.000000
epoch_25700,1.000000
epoch_25800,1.000000
epoch_25900,1.000000
epoch_26000,1.000000
epoch_26100,1.000000
epoch_26200,1.000000
epoch_26300,1.000000
epoch_26400,1.000000
epoch_26500,1.000000
epoch_26600,1.000000
epoch_26700,1.000000
epoch_26800,1.000000
epoch_26900,1.000000
epoch_27000,1.000000
epoch_27100,1.000000
epoch_27200,1.000000
epoch_27300,1.000000
epoch_27400,1.000000
epoch_27500,1.000000
epoch_27534,1.000000
epoch_27573,1.000000
epoch_27600,1.000000
epoch_27700,1.000000
epoch_27800,1.000000
epoch_27900,1.000000
epoch_28000,1.000000
epoch_28100,1.000000
epoch_28200,1.000000
epoch_28300,1.000000
epoch_28400,1.000000
epoch_28500,1.000000
epoch_28600,1.000000
epoch_28700,1.000000
epoch_28800,1.000000
epoch_28900,1.000000
epoch_29000,1.000000
epoch_29100,1.000000
epoch_29200,1.000000
epoch_29300,1.000000
epoch_29400,1.000000
epoch_29500,1.000000
epoch_29600,1.000000
epoch_29700,1.000000
epoch_29800,1.000000
epoch_29900,1.000000
epoch_30000,1.000000
epoch_30100,1.000000
epoch_30200,1.000000
epoch_30300,1.000000
epoch_30400,1.000000
epoch_30500,1.000000
epoch_30600,1.000000
epoch_30700,1.000000
epoch_30800,1.000000
epoch_30900,1.000000
epoch_31000,1.000000
epoch_31100,1.000000
epoch_31200,1.000000
epoch_31300,1.000000
epoch_31400,1.000000
epoch_31500,1.000000
epoch_31600,1.000000
epoch_31700,1.000000
epoch_31800,1.000000
epoch_31900,1.000000
epoch_32000,1.000000
epoch_32100,1.000000
epoch_32200,1.000000
epoch_32300,1.000000
epoch_32400,1.000000
epoch_32500,1.000000
epoch_32600,1.000000
epoch_32700,1.000000
epoch_32800,1.000000
epoch_32900,1.000000
epoch_33000,1.000000
epoch_33100,1.000000
epoch_33200,1.000000
epoch_33300,1.000000
epoch_33400,1.000000
epoch_33500,1.000000
epoch_33600,1.000000
epoch_33700,1.000000
epoch_33800,1.000000
epoch_33900,1.000000
epoch_34000,1.000000
epoch_34100,1.000000
epoch_34200,1.000000
epoch_34300,1.000000
epoch_34400,1.000000
epoch_34500,1.000000
epoch_34600,1.000000
epoch_34700,1.000000
epoch_34800,1.000000
epoch_34900,1.000000
epoch_35000,1.000000
epoch_35100,1.000000
epoch_35200,1.000000
epoch_35300,1.000000
epoch_35400,1.000000
epoch_35500,1.000000
epoch_35600,1.000000
epoch_35700,1.000000
epoch_35800,1.000000
epoch_35900,1.000000
epoch_36000,1.000000
epoch_36100,1.000000
epoch_36200,1.000000
epoch_36300,1.000000
epoch_36400,1.000000
epoch_36500,1.000000
epoch_36600,1.000000
epoch_36700,1.000000
epoch_36800,1.000000
epoch_36900,1.000000
epoch_37000,1.000000
epoch_37100,1.000000
epoch_37200,1.000000
epoch_37300,1.000000
epoch_37400,1.000000
epoch_37500,1.000000
epoch_37600,1.000000
epoch_37700,1.000000
epoch_37800,1.000000
epoch_37900,1.000000
epoch_38000,1.000000
epoch_38100,1.000000
epoch_38200,1.000000
epoch_38300,1.000000
epoch_38400,1.000000
epoch_38500,1.000000
epoch_38600,1.000000
epoch_38700,1.000000
epoch_38800,1.000000
epoch_38900,1.000000
epoch_39000,1.000000
epoch_39100,1.000000
epoch_39200,1.000000
epoch_39300,1.000000
epoch_39400,1.000000
epoch_39500,1.000000
epoch_39600,1.000000
epoch_39700,1.000000
epoch_39800,1.000000
epoch_39900,1.000000
epoch_40000,1.000000
epoch_40100,1.000000
epoch_40200,1.000000
epoch_40300,1.000000
epoch_40400,1.000000
epoch_40500,1.000000
epoch_40600,1.000000
epoch_40700,1.000000
epoch_40800,1.000000
epoch_40900,1.000000
epoch_41000,1.000000
epoch_41100,1.000000
epoch_41200,1.000000
epoch_41300,1.000000
epoch_41400,1.000000
epoch_41500,1.000000
epoch_41600,1.000000
epoch_41700,1.000000
epoch_41800,1.000000
epoch_41900,1.000000
epoch_42000,1.000000
epoch_42100,1.000000
epoch_42200,1.000000
epoch_42300,1.000000
epoch_42400,1.000000
epoch_42500,1.000000
epoch_42600,1.000000
epoch_42700,1.000000
epoch_42800,1.000000
epoch_42900,1.000000
