Start time: 2018-01-24 07:15:46 AM
---
sources:
- - build.py
  - c264d2ba7087a7468e024e969caa4d39
repositories: []
base_dir: /home/jayram/projects/Keras-Tensorflow/ntm_tasks/tasks/odd
name: odd
mainfile: build.py
dependencies:
- numpy==1.13.3
- sacred==0.7.2
...
---
element_size: 8
train_max_len: 20
use_frozen_wts: true
tm_state_units: 3
mem_freeze_wts_file: ../../logs/memorize/2018-01-23__08_04_48_PM/model_weights.hdf5
train_batch_size: 1
is_cam: false
test_batch_size: 64
num_shift: 5
N_test: 128
train_min_len: 3
report_interval: 100
N_train: 40
seed: 12345
test_len: 64
M: 10
epochs: 50000
mem_epoch: 20936
...

epoch,accuracy,length,loss,improved
00001, 0.4861111045,   17, 3.2349328995
00002, 0.4285714328,   14, 3.3990845680
00003, 0.5500000119,   20, 2.1671423912
00004, 0.5937500000,    8, 2.2120931149
00005, 0.5000000000,    3, 1.6965565681
00006, 0.5500000119,   10, 1.9780462980
00007, 0.3874999881,   19, 2.8946459293
00008, 0.3928571343,   14, 2.7579050064
00009, 0.4464285672,   13, 2.6230738163
00010, 0.4531250000,   16, 2.5031580925
00011, 0.5000000000,    7, 2.0358986855
00012, 0.5000000000,    5, 2.1785874367
00013, 0.5124999881,   20, 2.2983336449
00014, 0.4722222090,   18, 2.4421687126
00015, 0.5000000000,   15, 2.5457942486
00016, 0.3958333433,   12, 2.2980990410
00017, 0.4218750000,   15, 2.8183307648
00018, 0.6041666865,   11, 1.7295837402
00019, 0.5208333135,   12, 1.6636002064
00020, 0.4444444478,   17, 2.5441551208
00021, 0.5277777910,   18, 2.0722374916
00022, 0.4375000000,   12, 2.3844792843
00023, 0.6000000238,   10, 1.3785105944
00024, 0.4166666567,   11, 2.6569333076
00025, 0.5625000000,    4, 1.4539145231
00026, 0.4642857015,   13, 2.0225336552
00027, 0.4687500000,    8, 2.2285327911
00028, 0.5535714030,   14, 1.8913644552
00029, 0.5937500000,    7, 1.0275795460
00030, 0.3906250000,   16, 3.0051531792
00031, 0.3750000000,   20, 2.7072467804
00032, 0.5937500000,    8, 1.4045374393
00033, 0.4250000119,    9, 2.3131351471
00034, 0.5312500000,   15, 2.0833010674
00035, 0.4791666567,   12, 1.7757898569
00036, 0.4861111045,   17, 2.7379040718
00037, 0.5500000119,   10, 2.1667966843
00038, 0.5000000000,    4, 1.5893387794
00039, 0.5000000000,   18, 2.1743788719
00040, 0.5000000000,    3, 1.3224143982
00041, 0.4000000060,   20, 2.3878393173
00042, 0.6041666865,   11, 1.6947717667
00043, 0.3888888955,   17, 2.4281578064
00044, 0.5178571343,   14, 1.9248623848
00045, 0.5156250000,   15, 1.8848919868
00046, 0.4583333433,    6, 1.9401755333
00047, 0.4583333433,   11, 1.3385398388
00048, 0.5000000000,    3, 1.5495121479
00049, 0.6071428657,   13, 1.4707400799
00050, 0.4027777910,   18, 1.6346036196
00051, 0.6499999762,   20, 1.8079261780
00052, 0.5749999881,    9, 1.4211199284
00053, 0.6458333135,   12, 1.6469841003
00054, 0.5625000000,    8, 1.5134607553
00055, 0.4375000000,    4, 1.4143716097
00056, 0.4843750000,   16, 1.9375972748
00057, 0.4843750000,   15, 2.0572366714
00058, 0.4499999881,    9, 1.9077498913
00059, 0.5000000000,    9, 1.5140217543
00060, 0.6000000238,    9, 1.0533714294
00061, 0.4749999940,   19, 2.1086044312
00062, 0.2083333284,    5, 2.2947378159
00063, 0.5000000000,   19, 2.1028466225
00064, 0.4062500000,    8, 2.3684260845
00065, 0.5416666865,    5, 1.3288486004
00066, 0.5156250000,   15, 1.1524802446
