epoch,batch_acc
epoch_11000,1.000000
epoch_11025,1.000000
epoch_11027,1.000000
epoch_11039,1.000000
epoch_11100,1.000000
epoch_11200,1.000000
epoch_11218,1.000000
epoch_11300,1.000000
epoch_11330,1.000000
epoch_11331,1.000000
epoch_11358,1.000000
epoch_11400,1.000000
epoch_11408,1.000000
epoch_11500,1.000000
epoch_11600,1.000000
epoch_11700,1.000000
epoch_11758,1.000000
epoch_11800,1.000000
epoch_11900,1.000000
epoch_12000,1.000000
epoch_12100,1.000000
epoch_12200,1.000000
epoch_12300,1.000000
epoch_12359,1.000000
epoch_12400,1.000000
epoch_12500,1.000000
epoch_12600,1.000000
epoch_12700,1.000000
epoch_12800,1.000000
epoch_12900,1.000000
epoch_13000,1.000000
epoch_13100,1.000000
epoch_13151,1.000000
epoch_13200,1.000000
epoch_13300,1.000000
epoch_13400,1.000000
epoch_13500,1.000000
epoch_13600,1.000000
epoch_13700,1.000000
epoch_13800,1.000000
epoch_13900,1.000000
epoch_14000,1.000000
epoch_14100,1.000000
epoch_14200,1.000000
epoch_14300,1.000000
epoch_14400,1.000000
epoch_14500,1.000000
epoch_14600,1.000000
epoch_14700,1.000000
epoch_14800,1.000000
epoch_14900,1.000000
epoch_15000,1.000000
epoch_15100,1.000000
epoch_15200,1.000000
epoch_15300,1.000000
epoch_15400,1.000000
epoch_15500,1.000000
epoch_15600,1.000000
epoch_15700,1.000000
epoch_15800,1.000000
epoch_15900,1.000000
epoch_16000,1.000000
epoch_16100,1.000000
epoch_16200,1.000000
epoch_16300,1.000000
epoch_16400,1.000000
epoch_16500,1.000000
epoch_16600,1.000000
epoch_16700,1.000000
epoch_16800,1.000000
epoch_16900,1.000000
epoch_17000,1.000000
epoch_17100,1.000000
epoch_17200,1.000000
epoch_17300,1.000000
epoch_17400,1.000000
epoch_17500,1.000000
epoch_17506,1.000000
epoch_17600,1.000000
epoch_17700,1.000000
epoch_17800,1.000000
epoch_17900,1.000000
epoch_18000,1.000000
epoch_18100,1.000000
epoch_18200,1.000000
epoch_18300,1.000000
epoch_18400,1.000000
epoch_18500,1.000000
epoch_18504,1.000000
epoch_18600,1.000000
epoch_18700,1.000000
epoch_18800,1.000000
epoch_18900,1.000000
epoch_19000,1.000000
epoch_19100,1.000000
epoch_19200,1.000000
epoch_19300,1.000000
epoch_19400,1.000000
epoch_19500,1.000000
epoch_19600,1.000000
epoch_19700,1.000000
epoch_19800,1.000000
epoch_19900,1.000000
epoch_20000,1.000000
epoch_20100,1.000000
epoch_20200,1.000000
epoch_20300,1.000000
epoch_20400,1.000000
epoch_20500,1.000000
epoch_20600,1.000000
epoch_20700,1.000000
epoch_20800,1.000000
epoch_20900,1.000000
epoch_21000,1.000000
epoch_21100,1.000000
epoch_21200,1.000000
epoch_21300,1.000000
epoch_21400,1.000000
epoch_21500,1.000000
epoch_21600,1.000000
epoch_21700,1.000000
epoch_21800,1.000000
epoch_21900,1.000000
epoch_22000,1.000000
