2018-02-06__10_52_32_AM
batch_num,epoch,batch_acc
1,epoch_24800,0.954281
2,epoch_24800,0.947281
3,epoch_24800,0.951688
4,epoch_24800,0.938250
5,epoch_24800,0.948375
6,epoch_24800,0.941281
7,epoch_24800,0.946750
8,epoch_24800,0.952250
9,epoch_24800,0.943594
10,epoch_24800,0.948000
11,epoch_24800,0.949594
12,epoch_24800,0.944938
13,epoch_24800,0.936813
14,epoch_24800,0.944875
15,epoch_24800,0.945031
16,epoch_24800,0.952031
17,epoch_24800,0.939031
18,epoch_24800,0.947750
19,epoch_24800,0.937125
20,epoch_24800,0.941781
21,epoch_24800,0.951594
22,epoch_24800,0.941437
2018-02-06__12_29_18_PM
batch_num,epoch,batch_acc
1,epoch_19200,0.987406
2,epoch_19200,0.984469
3,epoch_19200,0.984625
4,epoch_19200,0.985375
5,epoch_19200,0.986000
6,epoch_19200,0.980844
7,epoch_19200,0.987125
8,epoch_19200,0.982000
9,epoch_19200,0.989875
10,epoch_19200,0.988031
11,epoch_19200,0.986000
12,epoch_19200,0.982687
13,epoch_19200,0.978844
14,epoch_19200,0.987594
15,epoch_19200,0.983437
16,epoch_19200,0.987719
17,epoch_19200,0.985812
18,epoch_19200,0.985250
19,epoch_19200,0.980219
20,epoch_19200,0.989438
21,epoch_19200,0.988750
22,epoch_19200,0.984438
23,epoch_19200,0.984500
24,epoch_19200,0.987031
25,epoch_19200,0.987562
26,epoch_19200,0.987219
27,epoch_19200,0.987000
28,epoch_19200,0.984250
29,epoch_19200,0.983969
30,epoch_19200,0.985625
31,epoch_19200,0.987469
32,epoch_19200,0.982094
33,epoch_19200,0.987125
34,epoch_19200,0.984219
35,epoch_19200,0.987750
36,epoch_19200,0.986063
37,epoch_19200,0.983531
38,epoch_19200,0.983469
39,epoch_19200,0.986844
40,epoch_19200,0.986875
41,epoch_19200,0.984438
42,epoch_19200,0.984531
43,epoch_19200,0.989469
44,epoch_19200,0.984719
45,epoch_19200,0.988031
46,epoch_19200,0.986188
47,epoch_19200,0.987188
48,epoch_19200,0.989281
49,epoch_19200,0.987031
50,epoch_19200,0.988500
51,epoch_19200,0.985656
52,epoch_19200,0.989969
53,epoch_19200,0.983437
54,epoch_19200,0.987156
55,epoch_19200,0.988969
56,epoch_19200,0.984000
57,epoch_19200,0.987938
58,epoch_19200,0.987750
59,epoch_19200,0.987219
60,epoch_19200,0.984500
61,epoch_19200,0.983875
62,epoch_19200,0.988000
63,epoch_19200,0.985281
64,epoch_19200,0.985969
65,epoch_19200,0.983594
66,epoch_19200,0.985937
67,epoch_19200,0.982531
68,epoch_19200,0.987250
69,epoch_19200,0.987781
70,epoch_19200,0.984156
71,epoch_19200,0.990281
72,epoch_19200,0.986375
73,epoch_19200,0.984812
74,epoch_19200,0.980469
75,epoch_19200,0.985125
76,epoch_19200,0.981906
77,epoch_19200,0.988344
78,epoch_19200,0.988625
79,epoch_19200,0.984281
80,epoch_19200,0.989000
81,epoch_19200,0.983625
82,epoch_19200,0.988375
83,epoch_19200,0.983531
84,epoch_19200,0.989688
85,epoch_19200,0.987750
86,epoch_19200,0.986344
87,epoch_19200,0.986625
88,epoch_19200,0.988125
89,epoch_19200,0.987406
90,epoch_19200,0.982719
91,epoch_19200,0.983969
92,epoch_19200,0.984812
93,epoch_19200,0.983031
94,epoch_19200,0.988906
95,epoch_19200,0.981719
96,epoch_19200,0.986844
97,epoch_19200,0.989438
98,epoch_19200,0.985812
99,epoch_19200,0.989781
100,epoch_19200,0.987719
